ID,CELL_ID,AXIS_ORDINATE_ID
209,2740355_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_050
210,3153080_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_012
211,2739999_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_1_010
212,2786720_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_174
213,3153244_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_180
214,2786730_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
215,3151842_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_020
216,3151928_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_010
217,2786761_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
218,2759984_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_080
219,3173418_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_1_010
220,2760008_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_237
221,2739796_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_190
222,2739864_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_021
223,3153291_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_2_285
224,3152696_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_110
225,3151961_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_120
226,3170215_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_2_385
227,2739760_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
228,2740026_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_290
229,3152432_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_006
230,3152912_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_039
231,2739868_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_060
232,3152471_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
233,3152636_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_050
234,2741177_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_009
235,2760136_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_040
236,2760174_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_060
237,2760052_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_020
238,3153304_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
239,3153175_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_035
240,2741046_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
241,3153007_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_050
242,2739995_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_2_231
243,2740273_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_070
244,3151436_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_010
245,2741014_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_031
246,3153198_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_015
247,3152573_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_020
248,3151414_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_010
249,3152490_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
250,2741196_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_009
251,2786819_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_050
252,2740287_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_020
253,2739935_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_120
254,2740216_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_300
255,3151847_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_030
256,2741151_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_130
257,3152949_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_100
258,3152655_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_160
259,3151840_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_010
260,2739789_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_120
261,2740389_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_060
262,2760062_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_005
263,2739811_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_100
264,3152369_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_080
265,3153137_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_009
266,2786814_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_009
267,3153074_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_012
268,3153106_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_021
269,2740054_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_020
270,2760078_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_010
271,3153068_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_140
272,2740228_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_090
273,3152391_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_140
