ID,CELL_ID,AXIS_ORDINATE_ID
59298,3151840_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_010
59299,2739789_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_120
59300,2740389_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_060
59301,2760062_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_005
59302,2739811_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_100
59303,3152369_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_080
59304,3153137_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_009
59305,2786814_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_009
59306,3153074_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_012
59307,3153106_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_021
59308,2740054_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_020
59309,2760078_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_010
59310,3153068_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_140
59311,2740228_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_090
59312,3152391_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_140
59313,2740092_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_040
59314,2739860_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
59315,2760055_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_290
59316,3153235_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_090
59317,2760074_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_129
59318,3152556_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_070
59319,2740957_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_083
59320,2739842_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
59321,2739849_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
59322,2739793_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
59323,3153124_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_120
59324,2740264_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
59325,2740331_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_110
59326,2786697_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_070
59327,2741300_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_260
59328,3151404_REF,FINREP_REF_F_44_03_REF_FINREP 2_9_1_010
59329,3151838_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_020
59330,3153099_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_021
59331,2740271_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
59332,3151861_REF,FINREP_REF_F_42_00_REF_FINREP 2_9_1_010
59333,3152515_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_090
59334,3153039_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_010
59335,2739786_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
59336,3151902_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_070
59337,2740194_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_080
59338,3152505_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_070
59339,2740379_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_310
59340,3170401_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_032
59341,3152389_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_120
59342,2740041_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_020
59343,3152664_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_060
59344,3173427_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_1_010
59345,2739717_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_040
59346,2786801_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_009
59347,2740339_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_190
59348,3151955_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_030
59349,2740081_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_300
59350,2740087_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_040
59351,3170360_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_035
59352,2739733_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_140
59353,2740021_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_240
59354,2740173_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_150
59355,2759989_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_010
59356,3170241_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_009
59357,2739771_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_160
59358,2740396_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_210
59359,2760004_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_233
59360,2739892_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_2_040
59361,3152995_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_050
59362,2739791_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_140
59363,3152416_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_005
59364,2739931_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_090
59365,2786756_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_065
59366,3151934_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_130
59367,2741183_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_009
59368,2740292_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_020
59369,3153181_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_035
59370,3152566_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_020
59371,2760001_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_177
59372,2739819_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_180
59373,2760104_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_020
59374,2740240_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_270
59375,3170255_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_010
59376,3152377_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_190
59377,3152468_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_140
59378,3152643_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_040
59379,3152654_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_080
59380,2740317_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_030
59381,2741017_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_090
