MAINTENANCE_AGENCY_ID,CUBE_ID,NAME,CODE,FRAMEWORK_ID,CUBE_STRUCTURE_ID,CUBE_TYPE,IS_ALLOWED,VALID_FROM,VALID_TO,VERSION,DESCRIPTION,PUBLISHED,DATASET_URL,FILTERS,DI_EXPORT
,F_18_00_d_REF_FINREP_3_0,F_18_00_d_REF_FINREP_3_0,,,F_18_00_d_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_18_00_e_REF_FINREP_3_0,F_18_00_e_REF_FINREP_3_0,,,F_18_00_e_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_19_00_a_REF_FINREP_3_0,F_19_00_a_REF_FINREP_3_0,,,F_19_00_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0,,,F_19_00_b_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_19_00_c_REF_FINREP_3_0,F_19_00_c_REF_FINREP_3_0,,,F_19_00_c_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_19_00_e_REF_FINREP_3_0,F_19_00_e_REF_FINREP_3_0,,,F_19_00_e_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0,,,F_20_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_20_02_REF_FINREP_3_0,F_20_02_REF_FINREP_3_0,,,F_20_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0,,,F_20_04_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_20_05_a_REF_FINREP_3_0,F_20_05_a_REF_FINREP_3_0,,,F_20_05_a_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0,,,F_20_06_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_20_07_1_REF_FINREP_3_0,F_20_07_1_REF_FINREP_3_0,,,F_20_07_1_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_21_00_REF_FINREP_3_0,F_21_00_REF_FINREP_3_0,,,F_21_00_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_31_01_REF_FINREP_3_0,F_31_01_REF_FINREP_3_0,,,F_31_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_41_01_REF_FINREP_3_0,F_41_01_REF_FINREP_3_0,,,F_41_01_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,F_41_02_REF_FINREP_3_0,F_41_02_REF_FINREP_3_0,,,F_41_02_REF_FINREP_3_0_cube_structure,RC,,,,,,,,,
,FrameworkTestSuite,FrameworkTestSuite,,BIRD_EIL,FrameworkTestSuite,,,,,,,,,,
,Function,Function,,BIRD_EIL,Function,,,,,,,,,,
,FunctionColumnReference,FunctionColumnReference,,BIRD_EIL,FunctionColumnReference,,,,,,,,,,
,FunctionText,FunctionText,,BIRD_EIL,FunctionText,,,,,,,,,,
,GLD_CLLTRL_LG_GLD_CLLTRL_ASSGNMNT,GLD_CLLTRL_LG_GLD_CLLTRL_ASSGNMNT,,BIRD_EIL,GLD_CLLTRL_LG_GLD_CLLTRL_ASSGNMNT,,,,,,,,,,
,GRP,GRP,,BIRD_EIL,GRP,,,,,,,,,,
,GRP_KY_MNGMNT_PRSNLL_ASSGNMNT,GRP_KY_MNGMNT_PRSNLL_ASSGNMNT,,BIRD_EIL,GRP_KY_MNGMNT_PRSNLL_ASSGNMNT,,,,,,,,,,
,Group,Group,,BIRD_EIL,Group,,,,,,,,,,
,IMMDT_PRNT_ENTRPRS_ASSGNMNT,IMMDT_PRNT_ENTRPRS_ASSGNMNT,,BIRD_EIL,IMMDT_PRNT_ENTRPRS_ASSGNMNT,,,,,,,,,,
,INSTRMNT,INSTRMNT,,BIRD_EIL,INSTRMNT,,,,,,,,,,
,INSTRMNT_CLLTRL_ASSGNMNT,INSTRMNT_CLLTRL_ASSGNMNT,,BIRD_EIL,INSTRMNT_CLLTRL_ASSGNMNT,,,,,,,,,,
,INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT,INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT,,BIRD_EIL,INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT,,,,,,,,,,
,INSTRMNT_ENTTY_RL_ASSGNMNT,INSTRMNT_ENTTY_RL_ASSGNMNT,,BIRD_EIL,INSTRMNT_ENTTY_RL_ASSGNMNT,,,,,,,,,,
,INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV,INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV,,BIRD_EIL,INSTRMNT_HDGD_EXCHNG_TRDBL_DRVTV,,,,,,,,,,
,INSTRMNT_HDGD_OTC_DRVTV,INSTRMNT_HDGD_OTC_DRVTV,,BIRD_EIL,INSTRMNT_HDGD_OTC_DRVTV,,,,,,,,,,
,INSTRMNT_PRTCTN_ARRNGMNT_ASSGNMNT,INSTRMNT_PRTCTN_ARRNGMNT_ASSGNMNT,,BIRD_EIL,INSTRMNT_PRTCTN_ARRNGMNT_ASSGNMNT,,,,,,,,,,
,INSTRMNT_RL,INSTRMNT_RL,,BIRD_EIL,INSTRMNT_RL,,,,,,,,,,
,INTRNL_GRP_RL,INTRNL_GRP_RL,,BIRD_EIL,INTRNL_GRP_RL,,,,,,,,,,
,INTRST_RT_RSK_HDG_PRTFL,INTRST_RT_RSK_HDG_PRTFL,,BIRD_EIL,INTRST_RT_RSK_HDG_PRTFL,,,,,,,,,,
,INVSTMNT_PRPRTY_TKN_PSSSSN,INVSTMNT_PRPRTY_TKN_PSSSSN,,BIRD_EIL,INVSTMNT_PRPRTY_TKN_PSSSSN,,,,,,,,,,
,InclusiveGateway,InclusiveGateway,,BIRD_EIL,InclusiveGateway,,,,,,,,,,
,KB_PR_BCKT,KB_PR_BCKT,,BIRD_EIL,KB_PR_BCKT,,,,,,,,,,
,LNG_DBT_SCRTY_PSTN_ENCMBRNC_DRVD_DT,LNG_DBT_SCRTY_PSTN_ENCMBRNC_DRVD_DT,,BIRD_EIL,LNG_DBT_SCRTY_PSTN_ENCMBRNC_DRVD_DT,,,,,,,,,,
,LNG_EQTY_FND_SCRTY_PSTN_ENCMBRNC_DT,LNG_EQTY_FND_SCRTY_PSTN_ENCMBRNC_DT,,BIRD_EIL,LNG_EQTY_FND_SCRTY_PSTN_ENCMBRNC_DT,,,,,,,,,,
,LNG_SCRTY_PSTN_CLLTRL_RCVD_ASSGNMNT,LNG_SCRTY_PSTN_CLLTRL_RCVD_ASSGNMNT,,BIRD_EIL,LNG_SCRTY_PSTN_CLLTRL_RCVD_ASSGNMNT,,,,,,,,,,
,LNG_SCRTY_PSTN_HDG,LNG_SCRTY_PSTN_HDG,,BIRD_EIL,LNG_SCRTY_PSTN_HDG,,,,,,,,,,
,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT,,BIRD_EIL,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT,,,,,,,,,,
,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,BIRD_EIL,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,,,,,,
,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_RSK_DT,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_RSK_DT,,BIRD_EIL,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_RSK_DT,,,,,,,,,,
